"trial","queens","maxgen","competitors","threads","solved","generations","time"
7, 16, 1000, 1, 2, 0, 1000, 0.251
8, 16, 1000, 1, 2, 0, 1000, 0.245
9, 16, 1000, 1, 2, 0, 1000, 0.255
10, 16, 1000, 1, 2, 0, 1000, 0.266
0, 16, 1000, 1, 5, 1, 756, 0.151
1, 16, 1000, 1, 5, 0, 1000, 0.19
2, 16, 1000, 1, 5, 0, 1000, 0.202
3, 16, 1000, 1, 5, 0, 1000, 0.191
4, 16, 1000, 1, 5, 1, 192, 0.039
5, 16, 1000, 1, 5, 0, 1000, 0.195
6, 16, 1000, 1, 5, 0, 1000, 0.211
7, 16, 1000, 1, 5, 1, 262, 0.049
8, 16, 1000, 1, 5, 0, 1000, 0.195
9, 16, 1000, 1, 5, 0, 1000, 0.187
10, 16, 1000, 1, 5, 0, 1000, 0.19
0, 16, 1000, 1, 10, 0, 1000, 0.188
1, 16, 1000, 1, 10, 1, 306, 0.057
2, 16, 1000, 1, 10, 0, 1000, 0.181
3, 16, 1000, 1, 10, 0, 1000, 0.188
4, 16, 1000, 1, 10, 0, 1000, 0.178
5, 16, 1000, 1, 10, 0, 1000, 0.177
6, 16, 1000, 1, 10, 0, 1000, 0.178
7, 16, 1000, 1, 10, 0, 1000, 0.178
8, 16, 1000, 1, 10, 1, 204, 0.038
9, 16, 1000, 1, 10, 0, 1000, 0.179
10, 16, 1000, 1, 10, 0, 1000, 0.177
0, 16, 1000, 2, 1, 0, 1000, 0.692
1, 16, 1000, 2, 1, 1, 263, 0.213
2, 16, 1000, 2, 1, 1, 205, 0.118
3, 16, 1000, 2, 1, 1, 268, 0.217
4, 16, 1000, 2, 1, 1, 161, 0.091
5, 16, 1000, 2, 1, 1, 86, 0.063
6, 16, 1000, 2, 1, 0, 1000, 0.678
7, 16, 1000, 2, 1, 0, 1000, 0.578
8, 16, 1000, 2, 1, 0, 1000, 0.606
9, 16, 1000, 2, 1, 1, 507, 0.341
10, 16, 1000, 2, 1, 1, 116, 0.096
0, 16, 1000, 2, 2, 1, 988, 0.446
1, 16, 1000, 2, 2, 0, 1000, 0.458
2, 16, 1000, 2, 2, 0, 1000, 0.483
3, 16, 1000, 2, 2, 1, 560, 0.259
4, 16, 1000, 2, 2, 0, 1000, 0.47
5, 16, 1000, 2, 2, 1, 117, 0.058
6, 16, 1000, 2, 2, 1, 116, 0.058
7, 16, 1000, 2, 2, 0, 1000, 0.449
8, 16, 1000, 2, 2, 1, 126, 0.064
9, 16, 1000, 2, 2, 1, 78, 0.037
10, 16, 1000, 2, 2, 1, 225, 0.111
0, 16, 1000, 2, 5, 1, 225, 0.108
1, 16, 1000, 2, 5, 0, 1000, 0.418
2, 16, 1000, 2, 5, 1, 796, 0.339
3, 16, 1000, 2, 5, 0, 1000, 0.426
4, 16, 1000, 2, 5, 0, 1000, 0.427
5, 16, 1000, 2, 5, 0, 1000, 0.427
6, 16, 1000, 2, 5, 1, 167, 0.072
7, 16, 1000, 2, 5, 1, 235, 0.104
8, 16, 1000, 2, 5, 1, 867, 0.354
9, 16, 1000, 2, 5, 0, 1000, 0.417
10, 16, 1000, 2, 5, 1, 384, 0.165
0, 16, 1000, 2, 10, 1, 191, 0.072
1, 16, 1000, 2, 10, 1, 171, 0.073
2, 16, 1000, 2, 10, 1, 422, 0.162
3, 16, 1000, 2, 10, 0, 1000, 0.404
4, 16, 1000, 2, 10, 0, 1000, 0.378
5, 16, 1000, 2, 10, 1, 95, 0.04
6, 16, 1000, 2, 10, 1, 408, 0.155
7, 16, 1000, 2, 10, 1, 704, 0.279
8, 16, 1000, 2, 10, 0, 1000, 0.381
9, 16, 1000, 2, 10, 1, 61, 0.029
10, 16, 1000, 2, 10, 0, 1000, 0.387
0, 16, 1000, 3, 1, 1, 192, 0.205
1, 16, 1000, 3, 1, 1, 338, 0.314
2, 16, 1000, 3, 1, 1, 131, 0.141
3, 16, 1000, 3, 1, 1, 119, 0.128
4, 16, 1000, 3, 1, 1, 158, 0.165
5, 16, 1000, 3, 1, 1, 156, 0.162
6, 16, 1000, 3, 1, 1, 117, 0.11
7, 16, 1000, 3, 1, 1, 204, 0.19
8, 16, 1000, 3, 1, 0, 1000, 0.917
9, 16, 1000, 3, 1, 1, 393, 0.361
10, 16, 1000, 3, 1, 1, 145, 0.153
0, 16, 1000, 3, 2, 1, 31, 0.023
1, 16, 1000, 3, 2, 1, 162, 0.118
2, 16, 1000, 3, 2, 0, 1000, 0.67
3, 16, 1000, 3, 2, 1, 804, 0.552
4, 16, 1000, 3, 2, 1, 366, 0.237
5, 16, 1000, 3, 2, 0, 1000, 0.655
6, 16, 1000, 3, 2, 0, 1000, 0.685
7, 16, 1000, 3, 2, 1, 115, 0.086
8, 16, 1000, 3, 2, 0, 1000, 0.688
9, 16, 1000, 3, 2, 0, 1000, 0.686
10, 16, 1000, 3, 2, 1, 154, 0.113
0, 16, 1000, 3, 5, 1, 504, 0.381
1, 16, 1000, 3, 5, 1, 161, 0.115
2, 16, 1000, 3, 5, 0, 1000, 0.722
3, 16, 1000, 3, 5, 0, 1000, 0.71
4, 16, 1000, 3, 5, 1, 177, 0.128
5, 16, 1000, 3, 5, 1, 154, 0.102
6, 16, 1000, 3, 5, 1, 162, 0.117
7, 16, 1000, 3, 5, 1, 458, 0.328
8, 16, 1000, 3, 5, 0, 1000, 0.707
9, 16, 1000, 3, 5, 1, 661, 0.49
10, 16, 1000, 3, 5, 0, 1000, 0.742
0, 16, 1000, 3, 10, 1, 265, 0.189
1, 16, 1000, 3, 10, 1, 254, 0.169
2, 16, 1000, 3, 10, 1, 158, 0.111
3, 16, 1000, 3, 10, 1, 128, 0.091
4, 16, 1000, 3, 10, 0, 1000, 0.671
5, 16, 1000, 3, 10, 1, 612, 0.41
6, 16, 1000, 3, 10, 1, 243, 0.164
7, 16, 1000, 3, 10, 1, 77, 0.056
8, 16, 1000, 3, 10, 1, 294, 0.202
9, 16, 1000, 3, 10, 1, 213, 0.148
10, 16, 1000, 3, 10, 1, 425, 0.284
0, 32, 1000, 1, 1, 0, 1000, 1.183
1, 32, 1000, 1, 1, 0, 1000, 1.6
2, 32, 1000, 1, 1, 0, 1000, 1.201
3, 32, 1000, 1, 1, 0, 1000, 1.192
4, 32, 1000, 1, 1, 0, 1000, 1.634
5, 32, 1000, 1, 1, 0, 1000, 1.301
6, 32, 1000, 1, 1, 0, 1000, 1.197
7, 32, 1000, 1, 1, 0, 1000, 1.198
8, 32, 1000, 1, 1, 0, 1000, 1.184
9, 32, 1000, 1, 1, 0, 1000, 1.335
10, 32, 1000, 1, 1, 0, 1000, 1.192
0, 32, 1000, 1, 2, 0, 1000, 0.735
1, 32, 1000, 1, 2, 0, 1000, 0.649
2, 32, 1000, 1, 2, 0, 1000, 0.881
3, 32, 1000, 1, 2, 0, 1000, 0.924
4, 32, 1000, 1, 2, 0, 1000, 0.683
5, 32, 1000, 1, 2, 0, 1000, 0.887
6, 32, 1000, 1, 2, 0, 1000, 0.717
7, 32, 1000, 1, 2, 0, 1000, 0.742
8, 32, 1000, 1, 2, 0, 1000, 0.922
9, 32, 1000, 1, 2, 0, 1000, 0.634
10, 32, 1000, 1, 2, 0, 1000, 0.9
0, 32, 1000, 1, 5, 0, 1000, 0.461
1, 32, 1000, 1, 5, 0, 1000, 0.455
2, 32, 1000, 1, 5, 0, 1000, 0.456
3, 32, 1000, 1, 5, 0, 1000, 0.454
4, 32, 1000, 1, 5, 0, 1000, 0.462
5, 32, 1000, 1, 5, 0, 1000, 0.457
6, 32, 1000, 1, 5, 0, 1000, 0.457
7, 32, 1000, 1, 5, 0, 1000, 0.453
8, 32, 1000, 1, 5, 0, 1000, 0.459
9, 32, 1000, 1, 5, 0, 1000, 0.457
10, 32, 1000, 1, 5, 0, 1000, 0.459
0, 32, 1000, 1, 10, 0, 1000, 0.432
1, 32, 1000, 1, 10, 0, 1000, 0.424
2, 32, 1000, 1, 10, 0, 1000, 0.421
3, 32, 1000, 1, 10, 0, 1000, 0.432
4, 32, 1000, 1, 10, 0, 1000, 0.428
5, 32, 1000, 1, 10, 0, 1000, 0.42
6, 32, 1000, 1, 10, 0, 1000, 0.431
7, 32, 1000, 1, 10, 0, 1000, 0.424
8, 32, 1000, 1, 10, 0, 1000, 0.422
9, 32, 1000, 1, 10, 0, 1000, 0.414
10, 32, 1000, 1, 10, 0, 1000, 0.421
0, 32, 1000, 2, 1, 1, 683, 1.27
1, 32, 1000, 2, 1, 0, 1000, 1.915
2, 32, 1000, 2, 1, 0, 1000, 1.699
3, 32, 1000, 2, 1, 0, 1000, 1.593
4, 32, 1000, 2, 1, 1, 416, 0.92
5, 32, 1000, 2, 1, 0, 1000, 1.542
6, 32, 1000, 2, 1, 1, 254, 0.43
7, 32, 1000, 2, 1, 0, 1000, 2.117
8, 32, 1000, 2, 1, 1, 971, 1.575
9, 32, 1000, 2, 1, 0, 1000, 1.932
10, 32, 1000, 2, 1, 0, 1000, 1.665
0, 32, 1000, 2, 2, 0, 1000, 1.213
1, 32, 1000, 2, 2, 0, 1000, 1.195
2, 32, 1000, 2, 2, 1, 981, 1.23
3, 32, 1000, 2, 2, 1, 716, 0.839
4, 32, 1000, 2, 2, 0, 1000, 1.067
5, 32, 1000, 2, 2, 0, 1000, 1.2
6, 32, 1000, 2, 2, 0, 1000, 1.222
7, 32, 1000, 2, 2, 1, 389, 0.499
8, 32, 1000, 2, 2, 0, 1000, 1.208
9, 32, 1000, 2, 2, 0, 1000, 1.22
10, 32, 1000, 2, 2, 0, 1000, 1.204
0, 32, 1000, 2, 5, 1, 714, 0.714
1, 32, 1000, 2, 5, 1, 927, 0.947
2, 32, 1000, 2, 5, 1, 769, 0.757
3, 32, 1000, 2, 5, 0, 1000, 0.997
4, 32, 1000, 2, 5, 0, 1000, 0.982
5, 32, 1000, 2, 5, 0, 1000, 0.996
6, 32, 1000, 2, 5, 0, 1000, 1.001
7, 32, 1000, 2, 5, 0, 1000, 1.005
8, 32, 1000, 2, 5, 1, 165, 0.177
9, 32, 1000, 2, 5, 1, 1000, 1.008
10, 32, 1000, 2, 5, 0, 1000, 1.018
0, 32, 1000, 2, 10, 0, 1000, 0.938
1, 32, 1000, 2, 10, 1, 744, 0.689
2, 32, 1000, 2, 10, 1, 698, 0.675
3, 32, 1000, 2, 10, 0, 1000, 0.981
4, 32, 1000, 2, 10, 0, 1000, 1.041
5, 32, 1000, 2, 10, 1, 877, 0.864
6, 32, 1000, 2, 10, 0, 1000, 0.937
7, 32, 1000, 2, 10, 1, 958, 0.909
8, 32, 1000, 2, 10, 1, 320, 0.329
9, 32, 1000, 2, 10, 0, 1000, 0.97
10, 32, 1000, 2, 10, 0, 1000, 0.948
0, 32, 1000, 3, 1, 0, 1000, 2.398
1, 32, 1000, 3, 1, 0, 1000, 2.447
2, 32, 1000, 3, 1, 0, 1000, 2.551
3, 32, 1000, 3, 1, 0, 1000, 2.654
4, 32, 1000, 3, 1, 0, 1000, 2.507
5, 32, 1000, 3, 1, 0, 1000, 2.484
6, 32, 1000, 3, 1, 1, 955, 2.483
7, 32, 1000, 3, 1, 1, 512, 1.397
8, 32, 1000, 3, 1, 0, 1000, 2.45
9, 32, 1000, 3, 1, 0, 1000, 2.616
10, 32, 1000, 3, 1, 0, 1000, 2.513
0, 32, 1000, 3, 2, 0, 1000, 1.779
1, 32, 1000, 3, 2, 0, 1000, 1.796
2, 32, 1000, 3, 2, 1, 552, 0.949
3, 32, 1000, 3, 2, 1, 794, 1.38
4, 32, 1000, 3, 2, 0, 1000, 1.718
5, 32, 1000, 3, 2, 0, 1000, 1.676
6, 32, 1000, 3, 2, 0, 1000, 1.687
7, 32, 1000, 3, 2, 0, 1000, 1.693
8, 32, 1000, 3, 2, 0, 1000, 1.767
9, 32, 1000, 3, 2, 0, 1000, 1.67
10, 32, 1000, 3, 2, 0, 1000, 1.756
0, 32, 1000, 3, 5, 1, 365, 0.602
1, 32, 1000, 3, 5, 1, 751, 1.248
2, 32, 1000, 3, 5, 0, 1000, 1.678
3, 32, 1000, 3, 5, 1, 786, 1.299
4, 32, 1000, 3, 5, 0, 1000, 1.607
5, 32, 1000, 3, 5, 1, 778, 1.273
6, 32, 1000, 3, 5, 0, 1000, 1.635
7, 32, 1000, 3, 5, 1, 965, 1.556
8, 32, 1000, 3, 5, 1, 898, 1.45
9, 32, 1000, 3, 5, 1, 610, 1.002
10, 32, 1000, 3, 5, 1, 410, 0.665
0, 32, 1000, 3, 10, 0, 1000, 1.594
1, 32, 1000, 3, 10, 0, 1000, 1.613
2, 32, 1000, 3, 10, 0, 1000, 1.593
3, 32, 1000, 3, 10, 1, 577, 0.924
4, 32, 1000, 3, 10, 0, 1000, 1.62
5, 32, 1000, 3, 10, 0, 1000, 1.612
6, 32, 1000, 3, 10, 0, 1000, 1.565
7, 32, 1000, 3, 10, 0, 1000, 1.609
8, 32, 1000, 3, 10, 1, 693, 1.128
9, 32, 1000, 3, 10, 1, 769, 1.244
10, 32, 1000, 3, 10, 0, 1000, 1.618
0, 8, 10000, 1, 1, 0, 10000, 2.355
1, 8, 10000, 1, 1, 0, 10000, 2.437
2, 8, 10000, 1, 1, 1, 64, 0.014
3, 8, 10000, 1, 1, 1, 4499, 0.977
4, 8, 10000, 1, 1, 1, 148, 0.045
5, 8, 10000, 1, 1, 0, 10000, 2.248
6, 8, 10000, 1, 1, 1, 9, 0.004
7, 8, 10000, 1, 1, 0, 10000, 2.388
8, 8, 10000, 1, 1, 0, 10000, 2.254
9, 8, 10000, 1, 1, 0, 10000, 2.234
10, 8, 10000, 1, 1, 1, 22, 0.006
0, 8, 10000, 1, 2, 1, 26, 0.005
1, 8, 10000, 1, 2, 1, 4651, 0.674
2, 8, 10000, 1, 2, 1, 13, 0.004
3, 8, 10000, 1, 2, 1, 439, 0.059
4, 8, 10000, 1, 2, 1, 1646, 0.258
5, 8, 10000, 1, 2, 1, 55, 0.01
6, 8, 10000, 1, 2, 1, 423, 0.059
7, 8, 10000, 1, 2, 1, 65, 0.011
8, 8, 10000, 1, 2, 1, 395, 0.067
9, 8, 10000, 1, 2, 0, 10000, 1.539
10, 8, 10000, 1, 2, 1, 109, 0.016
0, 8, 10000, 1, 5, 1, 4846, 0.633
1, 8, 10000, 1, 5, 1, 18, 0.004
2, 8, 10000, 1, 5, 1, 495, 0.061
3, 8, 10000, 1, 5, 1, 71, 0.01
4, 8, 10000, 1, 5, 1, 3991, 0.466
5, 8, 10000, 1, 5, 1, 999, 0.119
6, 8, 10000, 1, 5, 1, 13, 0.003
7, 8, 10000, 1, 5, 1, 7138, 0.833
8, 8, 10000, 1, 5, 1, 118, 0.016
9, 8, 10000, 1, 5, 1, 2098, 0.248
10, 8, 10000, 1, 5, 1, 1128, 0.133
0, 8, 10000, 1, 10, 1, 15, 0.003
1, 8, 10000, 1, 10, 1, 5123, 0.668
2, 8, 10000, 1, 10, 1, 1766, 0.231
3, 8, 10000, 1, 10, 1, 4685, 0.586
4, 8, 10000, 1, 10, 1, 31, 0.005
5, 8, 10000, 1, 10, 1, 1538, 0.188
6, 8, 10000, 1, 10, 1, 27, 0.005
7, 8, 10000, 1, 10, 1, 212, 0.025
8, 8, 10000, 1, 10, 1, 43, 0.006
9, 8, 10000, 1, 10, 1, 989, 0.127
10, 8, 10000, 1, 10, 0, 10000, 1.292
0, 8, 10000, 2, 1, 1, 1165, 0.392
1, 8, 10000, 2, 1, 1, 12, 0.005
2, 8, 10000, 2, 1, 1, 15, 0.006
3, 8, 10000, 2, 1, 1, 16, 0.008
4, 8, 10000, 2, 1, 1, 13, 0.006
5, 8, 10000, 2, 1, 1, 11, 0.006
6, 8, 10000, 2, 1, 1, 1513, 0.567
7, 8, 10000, 2, 1, 1, 9, 0.005
8, 8, 10000, 2, 1, 1, 11, 0.006
9, 8, 10000, 2, 1, 1, 349, 0.123
10, 8, 10000, 2, 1, 1, 17, 0.009
0, 8, 10000, 2, 2, 1, 18, 0.007
1, 8, 10000, 2, 2, 1, 12, 0.005
2, 8, 10000, 2, 2, 1, 1056, 0.298
3, 8, 10000, 2, 2, 1, 39, 0.013
4, 8, 10000, 2, 2, 1, 47, 0.015
5, 8, 10000, 2, 2, 1, 12, 0.005
6, 8, 10000, 2, 2, 1, 26, 0.009
7, 8, 10000, 2, 2, 1, 40, 0.013
8, 8, 10000, 2, 2, 1, 6, 0.003
9, 8, 10000, 2, 2, 1, 1287, 0.343
10, 8, 10000, 2, 2, 1, 1016, 0.284
0, 8, 10000, 2, 5, 1, 113, 0.029
1, 8, 10000, 2, 5, 0, 10000, 2.841
2, 8, 10000, 2, 5, 1, 78, 0.027
3, 8, 10000, 2, 5, 1, 115, 0.031
4, 8, 10000, 2, 5, 1, 13, 0.005
5, 8, 10000, 2, 5, 1, 2209, 0.604
6, 8, 10000, 2, 5, 1, 116, 0.038
7, 8, 10000, 2, 5, 1, 41, 0.015
8, 8, 10000, 2, 5, 1, 8, 0.004
9, 8, 10000, 2, 5, 1, 2179, 0.605
10, 8, 10000, 2, 5, 1, 52, 0.014
0, 8, 10000, 2, 10, 1, 12, 0.008
1, 8, 10000, 2, 10, 1, 18, 0.006
2, 8, 10000, 2, 10, 1, 18, 0.009
3, 8, 10000, 2, 10, 1, 45, 0.016
4, 8, 10000, 2, 10, 0, 10000, 2.791
5, 8, 10000, 2, 10, 1, 25, 0.008
6, 8, 10000, 2, 10, 1, 35, 0.01
7, 8, 10000, 2, 10, 1, 9, 0.004
8, 8, 10000, 2, 10, 1, 23, 0.008
9, 8, 10000, 2, 10, 1, 4334, 1.229
10, 8, 10000, 2, 10, 1, 12, 0.009
0, 8, 10000, 3, 1, 1, 34, 0.023
1, 8, 10000, 3, 1, 1, 40, 0.03
2, 8, 10000, 3, 1, 1, 1906, 1.073
3, 8, 10000, 3, 1, 1, 18, 0.013
4, 8, 10000, 3, 1, 1, 23, 0.013
5, 8, 10000, 3, 1, 1, 425, 0.249
6, 8, 10000, 3, 1, 1, 14, 0.01
7, 8, 10000, 3, 1, 1, 35, 0.02
8, 8, 10000, 3, 1, 1, 12, 0.009
9, 8, 10000, 3, 1, 1, 26, 0.018
10, 8, 10000, 3, 1, 1, 311, 0.185
0, 8, 10000, 3, 2, 1, 255, 0.13
1, 8, 10000, 3, 2, 1, 23, 0.018
2, 8, 10000, 3, 2, 1, 16, 0.009
3, 8, 10000, 3, 2, 1, 309, 0.176
4, 8, 10000, 3, 2, 1, 5, 0.005
5, 8, 10000, 3, 2, 1, 39, 0.021
6, 8, 10000, 3, 2, 1, 11, 0.006
7, 8, 10000, 3, 2, 1, 20, 0.01
8, 8, 10000, 3, 2, 1, 28, 0.016
9, 8, 10000, 3, 2, 1, 26, 0.018
10, 8, 10000, 3, 2, 1, 3, 0.004
0, 8, 10000, 3, 5, 1, 19, 0.013
1, 8, 10000, 3, 5, 1, 15, 0.01
2, 8, 10000, 3, 5, 1, 18, 0.011
3, 8, 10000, 3, 5, 1, 14, 0.011
4, 8, 10000, 3, 5, 1, 15, 0.009
5, 8, 10000, 3, 5, 1, 28, 0.015
6, 8, 10000, 3, 5, 1, 26, 0.02
7, 8, 10000, 3, 5, 1, 20, 0.018
8, 8, 10000, 3, 5, 1, 7, 0.01
9, 8, 10000, 3, 5, 1, 33, 0.015
10, 8, 10000, 3, 5, 1, 8, 0.006
0, 8, 10000, 3, 10, 1, 17, 0.019
1, 8, 10000, 3, 10, 1, 11, 0.007
2, 8, 10000, 3, 10, 1, 12, 0.01
3, 8, 10000, 3, 10, 1, 238, 0.13
4, 8, 10000, 3, 10, 1, 35, 0.023
5, 8, 10000, 3, 10, 1, 29, 0.03
6, 8, 10000, 3, 10, 1, 23, 0.024
7, 8, 10000, 3, 10, 1, 36, 0.027
8, 8, 10000, 3, 10, 1, 21, 0.017
9, 8, 10000, 3, 10, 1, 9, 0.008
10, 8, 10000, 3, 10, 1, 54, 0.03
0, 16, 10000, 1, 1, 1, 2071, 0.996
1, 16, 10000, 1, 1, 1, 436, 0.192
2, 16, 10000, 1, 1, 0, 10000, 4.633
3, 16, 10000, 1, 1, 1, 2443, 1.04
4, 16, 10000, 1, 1, 1, 9258, 4.141
5, 16, 10000, 1, 1, 1, 4490, 1.895
6, 16, 10000, 1, 1, 0, 10000, 4.298
7, 16, 10000, 1, 1, 1, 9615, 4.331
8, 16, 10000, 1, 1, 1, 261, 0.107
9, 16, 10000, 1, 1, 0, 10000, 4.321
10, 16, 10000, 1, 1, 0, 10000, 4.106
0, 16, 10000, 1, 2, 1, 1085, 0.26
1, 16, 10000, 1, 2, 0, 10000, 2.644
2, 16, 10000, 1, 2, 1, 1975, 0.503
3, 16, 10000, 1, 2, 1, 3286, 0.805
4, 16, 10000, 1, 2, 1, 697, 0.185
5, 16, 10000, 1, 2, 1, 1813, 0.485
6, 16, 10000, 1, 2, 1, 87, 0.022
7, 16, 10000, 1, 2, 1, 6393, 1.647
8, 16, 10000, 1, 2, 1, 861, 0.248
9, 16, 10000, 1, 2, 1, 2087, 0.551
10, 16, 10000, 1, 2, 0, 10000, 2.76
0, 16, 10000, 1, 5, 1, 299, 0.059
1, 16, 10000, 1, 5, 1, 6276, 1.181
2, 16, 10000, 1, 5, 1, 2025, 0.38
3, 16, 10000, 1, 5, 1, 415, 0.077
4, 16, 10000, 1, 5, 1, 86, 0.017
5, 16, 10000, 1, 5, 0, 10000, 1.887
6, 16, 10000, 1, 5, 1, 1189, 0.214
7, 16, 10000, 1, 5, 0, 10000, 1.864
8, 16, 10000, 1, 5, 1, 1298, 0.236
9, 16, 10000, 1, 5, 0, 10000, 1.862
10, 16, 10000, 1, 5, 0, 10000, 1.891
0, 16, 10000, 1, 10, 1, 626, 0.121
1, 16, 10000, 1, 10, 1, 3976, 0.83
2, 16, 10000, 1, 10, 0, 10000, 1.935
3, 16, 10000, 1, 10, 1, 602, 0.118
4, 16, 10000, 1, 10, 1, 3569, 0.68
5, 16, 10000, 1, 10, 1, 2226, 0.441
6, 16, 10000, 1, 10, 0, 10000, 1.878
7, 16, 10000, 1, 10, 0, 10000, 1.897
8, 16, 10000, 1, 10, 0, 10000, 1.855
9, 16, 10000, 1, 10, 1, 1673, 0.301
10, 16, 10000, 1, 10, 0, 10000, 1.831
0, 16, 10000, 2, 1, 1, 318, 0.233
1, 16, 10000, 2, 1, 1, 4924, 3.014
2, 16, 10000, 2, 1, 1, 779, 0.483
3, 16, 10000, 2, 1, 1, 702, 0.435
4, 16, 10000, 2, 1, 1, 944, 0.623
5, 16, 10000, 2, 1, 1, 51, 0.034
6, 16, 10000, 2, 1, 1, 7787, 5.032
7, 16, 10000, 2, 1, 1, 68, 0.05
8, 16, 10000, 2, 1, 1, 253, 0.156
9, 16, 10000, 2, 1, 1, 5084, 3.412
10, 16, 10000, 2, 1, 1, 2289, 1.576
0, 16, 10000, 2, 2, 1, 127, 0.062
1, 16, 10000, 2, 2, 1, 172, 0.079
2, 16, 10000, 2, 2, 1, 281, 0.128
3, 16, 10000, 2, 2, 1, 1290, 0.595
4, 16, 10000, 2, 2, 1, 402, 0.188
5, 16, 10000, 2, 2, 1, 4014, 1.884
6, 16, 10000, 2, 2, 0, 10000, 4.551
7, 16, 10000, 2, 2, 1, 1997, 0.912
8, 16, 10000, 2, 2, 1, 409, 0.193
9, 16, 10000, 2, 2, 1, 74, 0.035
10, 16, 10000, 2, 2, 1, 137, 0.063
0, 16, 10000, 2, 5, 1, 573, 0.242
1, 16, 10000, 2, 5, 1, 4690, 2.014
2, 16, 10000, 2, 5, 1, 73, 0.031
3, 16, 10000, 2, 5, 1, 97, 0.042
4, 16, 10000, 2, 5, 1, 1584, 0.687
5, 16, 10000, 2, 5, 1, 1789, 0.749
6, 16, 10000, 2, 5, 1, 414, 0.172
7, 16, 10000, 2, 5, 1, 1628, 0.712
8, 16, 10000, 2, 5, 1, 304, 0.134
9, 16, 10000, 2, 5, 1, 1360, 0.59
10, 16, 10000, 2, 5, 1, 872, 0.366
0, 16, 10000, 2, 10, 1, 1502, 0.616
1, 16, 10000, 2, 10, 1, 608, 0.236
2, 16, 10000, 2, 10, 1, 137, 0.054
3, 16, 10000, 2, 10, 1, 788, 0.307
4, 16, 10000, 2, 10, 1, 5759, 2.376
5, 16, 10000, 2, 10, 1, 200, 0.082
6, 16, 10000, 2, 10, 1, 1332, 0.559
7, 16, 10000, 2, 10, 1, 229, 0.101
8, 16, 10000, 2, 10, 1, 127, 0.057
9, 16, 10000, 2, 10, 1, 2951, 1.222
10, 16, 10000, 2, 10, 1, 412, 0.18
0, 16, 10000, 3, 1, 1, 2672, 2.486
1, 16, 10000, 3, 1, 1, 1396, 1.373
2, 16, 10000, 3, 1, 1, 75, 0.076
3, 16, 10000, 3, 1, 1, 1047, 0.968
4, 16, 10000, 3, 1, 1, 881, 0.798
5, 16, 10000, 3, 1, 1, 181, 0.172
6, 16, 10000, 3, 1, 1, 124, 0.129
7, 16, 10000, 3, 1, 1, 1380, 1.286
8, 16, 10000, 3, 1, 1, 88, 0.087
9, 16, 10000, 3, 1, 1, 81, 0.08
10, 16, 10000, 3, 1, 1, 9668, 8.94
0, 16, 10000, 3, 2, 1, 134, 0.098
1, 16, 10000, 3, 2, 1, 323, 0.263
2, 16, 10000, 3, 2, 1, 136, 0.101
3, 16, 10000, 3, 2, 1, 167, 0.118
4, 16, 10000, 3, 2, 1, 166, 0.131
5, 16, 10000, 3, 2, 1, 591, 0.54
6, 16, 10000, 3, 2, 1, 124, 0.102
7, 16, 10000, 3, 2, 1, 345, 0.236
8, 16, 10000, 3, 2, 1, 1192, 0.864
9, 16, 10000, 3, 2, 1, 320, 0.234
10, 16, 10000, 3, 2, 1, 300, 0.222
0, 16, 10000, 3, 5, 1, 4521, 3.411
1, 16, 10000, 3, 5, 1, 3074, 2.319
2, 16, 10000, 3, 5, 1, 1844, 1.431
3, 16, 10000, 3, 5, 1, 3109, 2.354
4, 16, 10000, 3, 5, 1, 817, 0.64
5, 16, 10000, 3, 5, 1, 865, 0.662
6, 16, 10000, 3, 5, 1, 622, 0.477
7, 16, 10000, 3, 5, 1, 121, 0.091
8, 16, 10000, 3, 5, 1, 630, 0.472
9, 16, 10000, 3, 5, 1, 217, 0.155
10, 16, 10000, 3, 5, 1, 150, 0.122
0, 16, 10000, 3, 10, 1, 627, 0.474
1, 16, 10000, 3, 10, 1, 94, 0.085
2, 16, 10000, 3, 10, 1, 916, 0.684
3, 16, 10000, 3, 10, 1, 137, 0.113
4, 16, 10000, 3, 10, 1, 116, 0.105
5, 16, 10000, 3, 10, 1, 179, 0.139
6, 16, 10000, 3, 10, 1, 226, 0.172
7, 16, 10000, 3, 10, 1, 157, 0.13
8, 16, 10000, 3, 10, 1, 3124, 2.274
9, 16, 10000, 3, 10, 1, 1563, 1.156
10, 16, 10000, 3, 10, 1, 180, 0.146
0, 32, 10000, 1, 1, 1, 4412, 6.565
1, 32, 10000, 1, 1, 1, 6200, 9.059
2, 32, 10000, 1, 1, 1, 4951, 6.235
3, 32, 10000, 1, 1, 1, 8037, 11.316
4, 32, 10000, 1, 1, 1, 9411, 13.104
5, 32, 10000, 1, 1, 0, 10000, 13.757
6, 32, 10000, 1, 1, 1, 4992, 6.722
7, 32, 10000, 1, 1, 0, 10000, 12.348
8, 32, 10000, 1, 1, 1, 3522, 4.947
9, 32, 10000, 1, 1, 1, 3844, 5.334
10, 32, 10000, 1, 1, 1, 7609, 9.964
0, 32, 10000, 1, 2, 0, 10000, 7.524
1, 32, 10000, 1, 2, 1, 9655, 7.525
2, 32, 10000, 1, 2, 1, 6043, 4.519
3, 32, 10000, 1, 2, 1, 4996, 3.565
4, 32, 10000, 1, 2, 0, 10000, 7.237
5, 32, 10000, 1, 2, 1, 7206, 5.213
