"trial","queens","maxgen","competitors","threads","solved","generations","time"
0, 8, 100, 3, 5, 0, 100, 0.043
1, 8, 100, 3, 5, 0, 100, 0.043
2, 8, 100, 3, 5, 1, 12, 0.007
3, 8, 100, 3, 5, 1, 38, 0.023
4, 8, 100, 3, 5, 1, 29, 0.015
5, 8, 100, 3, 5, 1, 20, 0.012
6, 8, 100, 3, 5, 1, 17, 0.01
7, 8, 100, 3, 5, 1, 26, 0.014
8, 8, 100, 3, 5, 1, 14, 0.008
9, 8, 100, 3, 5, 1, 8, 0.011
10, 8, 100, 3, 5, 1, 40, 0.022
0, 8, 100, 3, 10, 1, 19, 0.013
1, 8, 100, 3, 10, 1, 8, 0.009
2, 8, 100, 3, 10, 0, 100, 0.063
3, 8, 100, 3, 10, 1, 24, 0.018
4, 8, 100, 3, 10, 1, 31, 0.026
5, 8, 100, 3, 10, 1, 61, 0.037
6, 8, 100, 3, 10, 0, 100, 0.047
7, 8, 100, 3, 10, 1, 32, 0.021
8, 8, 100, 3, 10, 1, 29, 0.016
9, 8, 100, 3, 10, 1, 25, 0.015
10, 8, 100, 3, 10, 1, 6, 0.006
0, 16, 100, 1, 1, 0, 100, 0.043
1, 16, 100, 1, 1, 0, 100, 0.047
2, 16, 100, 1, 1, 0, 100, 0.059
3, 16, 100, 1, 1, 0, 100, 0.043
4, 16, 100, 1, 1, 0, 100, 0.042
5, 16, 100, 1, 1, 0, 100, 0.043
6, 16, 100, 1, 1, 0, 100, 0.042
7, 16, 100, 1, 1, 0, 100, 0.042
8, 16, 100, 1, 1, 0, 100, 0.052
9, 16, 100, 1, 1, 0, 100, 0.043
10, 16, 100, 1, 1, 0, 100, 0.043
0, 16, 100, 1, 2, 0, 100, 0.033
1, 16, 100, 1, 2, 0, 100, 0.028
2, 16, 100, 1, 2, 0, 100, 0.032
3, 16, 100, 1, 2, 0, 100, 0.029
4, 16, 100, 1, 2, 0, 100, 0.028
5, 16, 100, 1, 2, 0, 100, 0.032
6, 16, 100, 1, 2, 0, 100, 0.027
7, 16, 100, 1, 2, 0, 100, 0.029
8, 16, 100, 1, 2, 0, 100, 0.03
9, 16, 100, 1, 2, 0, 100, 0.027
10, 16, 100, 1, 2, 0, 100, 0.028
0, 16, 100, 1, 5, 0, 100, 0.02
1, 16, 100, 1, 5, 0, 100, 0.021
2, 16, 100, 1, 5, 0, 100, 0.022
3, 16, 100, 1, 5, 0, 100, 0.02
4, 16, 100, 1, 5, 0, 100, 0.022
5, 16, 100, 1, 5, 0, 100, 0.025
6, 16, 100, 1, 5, 0, 100, 0.021
7, 16, 100, 1, 5, 0, 100, 0.021
8, 16, 100, 1, 5, 0, 100, 0.021
9, 16, 100, 1, 5, 0, 100, 0.022
10, 16, 100, 1, 5, 0, 100, 0.022
0, 16, 100, 1, 10, 0, 100, 0.022
1, 16, 100, 1, 10, 0, 100, 0.02
2, 16, 100, 1, 10, 0, 100, 0.022
3, 16, 100, 1, 10, 0, 100, 0.027
4, 16, 100, 1, 10, 0, 100, 0.022
5, 16, 100, 1, 10, 0, 100, 0.019
6, 16, 100, 1, 10, 0, 100, 0.024
7, 16, 100, 1, 10, 0, 100, 0.021
8, 16, 100, 1, 10, 0, 100, 0.027
9, 16, 100, 1, 10, 0, 100, 0.02
10, 16, 100, 1, 10, 0, 100, 0.023
0, 16, 100, 2, 1, 0, 100, 0.06
1, 16, 100, 2, 1, 1, 92, 0.065
2, 16, 100, 2, 1, 0, 100, 0.078
3, 16, 100, 2, 1, 0, 100, 0.066
4, 16, 100, 2, 1, 0, 100, 0.07
5, 16, 100, 2, 1, 0, 100, 0.071
6, 16, 100, 2, 1, 0, 100, 0.073
7, 16, 100, 2, 1, 0, 100, 0.065
8, 16, 100, 2, 1, 0, 100, 0.077
9, 16, 100, 2, 1, 0, 100, 0.059
10, 16, 100, 2, 1, 0, 100, 0.071
0, 16, 100, 2, 2, 0, 100, 0.049
1, 16, 100, 2, 2, 0, 100, 0.052
2, 16, 100, 2, 2, 0, 100, 0.05
3, 16, 100, 2, 2, 0, 100, 0.05
4, 16, 100, 2, 2, 0, 100, 0.049
5, 16, 100, 2, 2, 0, 100, 0.05
6, 16, 100, 2, 2, 0, 100, 0.053
7, 16, 100, 2, 2, 0, 100, 0.055
8, 16, 100, 2, 2, 0, 100, 0.049
9, 16, 100, 2, 2, 0, 100, 0.05
10, 16, 100, 2, 2, 0, 100, 0.052
0, 16, 100, 2, 5, 0, 100, 0.042
1, 16, 100, 2, 5, 0, 100, 0.047
2, 16, 100, 2, 5, 0, 100, 0.045
3, 16, 100, 2, 5, 0, 100, 0.049
4, 16, 100, 2, 5, 0, 100, 0.046
5, 16, 100, 2, 5, 0, 100, 0.046
6, 16, 100, 2, 5, 0, 100, 0.047
7, 16, 100, 2, 5, 0, 100, 0.048
8, 16, 100, 2, 5, 0, 100, 0.046
9, 16, 100, 2, 5, 0, 100, 0.049
10, 16, 100, 2, 5, 0, 100, 0.053
0, 16, 100, 2, 10, 0, 100, 0.046
1, 16, 100, 2, 10, 0, 100, 0.043
2, 16, 100, 2, 10, 0, 100, 0.044
3, 16, 100, 2, 10, 0, 100, 0.048
4, 16, 100, 2, 10, 0, 100, 0.058
5, 16, 100, 2, 10, 0, 100, 0.057
6, 16, 100, 2, 10, 0, 100, 0.041
7, 16, 100, 2, 10, 0, 100, 0.043
8, 16, 100, 2, 10, 0, 100, 0.045
9, 16, 100, 2, 10, 0, 100, 0.041
10, 16, 100, 2, 10, 0, 100, 0.044
0, 16, 100, 3, 1, 0, 100, 0.107
1, 16, 100, 3, 1, 0, 100, 0.103
2, 16, 100, 3, 1, 0, 100, 0.104
3, 16, 100, 3, 1, 0, 100, 0.1
4, 16, 100, 3, 1, 0, 100, 0.102
5, 16, 100, 3, 1, 0, 100, 0.099
6, 16, 100, 3, 1, 0, 100, 0.107
7, 16, 100, 3, 1, 0, 100, 0.105
8, 16, 100, 3, 1, 0, 100, 0.102
9, 16, 100, 3, 1, 0, 100, 0.101
10, 16, 100, 3, 1, 0, 100, 0.096
0, 16, 100, 3, 2, 0, 100, 0.077
1, 16, 100, 3, 2, 0, 100, 0.074
2, 16, 100, 3, 2, 0, 100, 0.083
3, 16, 100, 3, 2, 1, 69, 0.058
4, 16, 100, 3, 2, 0, 100, 0.076
5, 16, 100, 3, 2, 1, 92, 0.077
6, 16, 100, 3, 2, 0, 100, 0.079
7, 16, 100, 3, 2, 0, 100, 0.081
8, 16, 100, 3, 2, 0, 100, 0.077
9, 16, 100, 3, 2, 0, 100, 0.083
10, 16, 100, 3, 2, 0, 100, 0.072
0, 16, 100, 3, 5, 0, 100, 0.076
1, 16, 100, 3, 5, 0, 100, 0.081
2, 16, 100, 3, 5, 0, 100, 0.081
3, 16, 100, 3, 5, 0, 100, 0.077
4, 16, 100, 3, 5, 0, 100, 0.089
5, 16, 100, 3, 5, 0, 100, 0.077
6, 16, 100, 3, 5, 0, 100, 0.088
7, 16, 100, 3, 5, 0, 100, 0.08
8, 16, 100, 3, 5, 1, 70, 0.055
9, 16, 100, 3, 5, 0, 100, 0.079
10, 16, 100, 3, 5, 0, 100, 0.073
